ICC ODI Championship
Team,Matches,Points,Rating
England,54,6745,125
India,58,7071,122
New Zealand,42,4709,112
Australia,50,5543,111
South Africa,47,5193,110
Pakistan,49,4756,97
Bangladesh,46,3963,86
Sri Lanka,54,4425,82
West Indies,48,3675,77
Afghanistan,40,2359,59
Ireland,29,1466,51
Zimbabwe,35,1538,44
Netherlands,6,222,37
Scotland,14,484,35
Nepal,8,152,19
UAE,15,144,10
PNG,11,0,0
