ICC Test Championship
Team,Matches,Points,Rating
India,32,3631,113
New Zealand,23,2547,111
South Africa,27,2917,108
England,36,3778,105
Australia,27,2640,98
Sri Lanka,37,3462,94
Pakistan,27,2263,84
West Indies,29,2381,82
Bangladesh,22,1438,65
Zimbabwe,9,140,16
