ICC Women's ODI Team Rankings
Team,Matches,Points,Rating
Australia Women,28,4121,147
India Women,33,4018,122
England Women,36,4368,121
New Zealand Women,33,3714,113
South Africa Women,42,4097,98
West Indies Women,25,2139,86
Pakistan Women,29,2272,78
Sri Lanka Women,29,1617,56
Bangladesh Women,13,632,49
Ireland Women,10,211,21
